epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7976,3.43325,2.69745,3.68342,0.33778,0.40073,0.33042,0.15976,2.92146,4.17673,3.3876,0.000552711,0.000552711,0.000552711
2,117.985,2.15511,1.53908,2.30587,0.95473,0.64325,0.69863,0.38268,2.48304,2.16912,2.72685,0.00108643,0.00108643,0.00108643
3,176.909,1.70723,1.20388,1.88021,0.92349,0.65534,0.75664,0.52019,2.04385,2.05083,2.34451,0.00159815,0.00159815,0.00159815
4,235.783,1.5099,1.06023,1.68942,0.90781,0.71966,0.80883,0.55734,1.82954,1.69633,2.16497,0.00156798,0.00156798,0.00156798
5,293.73,1.35443,0.99426,1.58,0.90022,0.73681,0.82547,0.57334,1.76975,1.5915,2.09955,0.00153497,0.00153497,0.00153497
6,351.396,1.28746,0.93401,1.53675,0.91245,0.76577,0.86612,0.64331,1.61794,1.42869,1.96857,0.00150197,0.00150197,0.00150197
7,407.742,1.18676,0.91012,1.47701,0.89325,0.73071,0.83352,0.63305,1.58846,1.38574,1.94251,0.00146896,0.00146896,0.00146896
8,463.923,1.12992,0.82052,1.4076,0.91674,0.75726,0.86038,0.65409,1.51088,1.39632,1.88464,0.00143595,0.00143595,0.00143595
9,522.263,1.07762,0.78888,1.37636,0.93036,0.78405,0.87918,0.68956,1.43401,1.30357,1.8205,0.00140295,0.00140295,0.00140295
10,578.892,1.05888,0.78274,1.36114,0.92958,0.78844,0.88148,0.69775,1.40025,1.26198,1.80898,0.00136994,0.00136994,0.00136994
11,636.986,0.99622,0.71203,1.31485,0.90757,0.78543,0.87463,0.67788,1.437,1.29218,1.81273,0.00133693,0.00133693,0.00133693
12,693.56,0.9828,0.7186,1.31675,0.91365,0.80273,0.89463,0.70217,1.3626,1.19358,1.75558,0.00130393,0.00130393,0.00130393
13,749.961,0.96749,0.70234,1.29673,0.93845,0.78717,0.89885,0.71608,1.33056,1.26814,1.74068,0.00127092,0.00127092,0.00127092
14,805.792,0.96712,0.68668,1.29087,0.91786,0.79716,0.89025,0.71581,1.31035,1.1756,1.71263,0.00123791,0.00123791,0.00123791
15,862.505,0.90265,0.66662,1.26637,0.91551,0.81651,0.9133,0.72438,1.29708,1.11938,1.68891,0.00120491,0.00120491,0.00120491
16,918.928,0.91039,0.663,1.26773,0.93878,0.80771,0.91073,0.74454,1.27797,1.06918,1.69392,0.0011719,0.0011719,0.0011719
17,975.397,0.90339,0.65867,1.26206,0.93366,0.82687,0.92037,0.7453,1.27533,1.08188,1.68455,0.00113889,0.00113889,0.00113889
18,1032.31,0.84013,0.61932,1.21611,0.93914,0.82373,0.91716,0.74199,1.24449,1.09061,1.64104,0.00110589,0.00110589,0.00110589
19,1089.41,0.85092,0.62983,1.22645,0.93398,0.84726,0.91953,0.74627,1.23983,1.04855,1.63891,0.00107288,0.00107288,0.00107288
20,1146.17,0.80929,0.58361,1.20732,0.91353,0.83187,0.92767,0.75517,1.20557,1.01148,1.60101,0.00103987,0.00103987,0.00103987
21,1201.75,0.79269,0.57348,1.1968,0.9224,0.83316,0.92424,0.76326,1.21945,1.06069,1.64459,0.00100687,0.00100687,0.00100687
22,1257.86,0.81632,0.57979,1.20224,0.903,0.87796,0.93874,0.7557,1.19136,0.96595,1.59774,0.000973861,0.000973861,0.000973861
